  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       6       3       1
     3      10       4       1
     4      14       4       1
     5      18       4       1
     6      22       4       1
     7      26       4       1
     8      30       4       1
     9      34       4       1
    10      39       5       1
    11      43       4       1
    12      47       4       1
    13      50       3       1
    14      54       4       1
    15      58       4       1
    16      62       4       1
    17      66       4       1
    18      70       4       1
    19      74       4       1
    20      79       5       1
    21      83       4       1
    22      87       4       1
    23      91       4       1
    24      95       4       1
    25      99       4       1
    26     103       4       1
    27     107       4       1
    28     111       4       1
    29     115       4       1
    30     119       4       1
    31     123       4       1
    32     127       4       1
    33     131       4       1
    34     135       4       1
    35     139       4       1
    36     143       4       1
    37     147       4       1
    38     151       4       1
    39     155       4       1
    40     159       4       1
    41     162       3       1
    42     165       3       1
    43     169       4       1
    44     173       4       1
    45     177       4       1
    46     181       4       1
    47     185       4       1
    48     189       4       1
    49     193       4       1
    50     197       4       1
    51     201       4       1
    52     205       4       1
    53     208       3       1
    54     212       4       1
    55     216       4       1
    56     220       4       1
    57     224       4       1
    58     228       4       1
    59     232       4       1
    60     237       5       1
    61     241       4       1
    62     245       4       1
    63     249       4       1
    64     253       4       1
    65     257       4       1
    66     261       4       1
    67     265       4       1
    68     269       4       1
    69     273       4       1
    70     277       4       1
    71     281       4       1
    72     285       4       1
    73     289       4       1
    74     293       4       1
    75     297       4       1
    76     301       4       1
    77     305       4       1
    78     309       4       1
    79     313       4       1
    80     317       4       1
