  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       6       3       1
     3       9       3       1
     4      12       3       1
     5      15       3       1
     6      18       3       1
     7      21       3       1
     8      24       3       1
     9      27       3       1
    10      30       3       1
    11      33       3       1
    12      36       3       1
    13      39       3       1
    14      42       3       1
    15      46       4       1
    16      50       4       1
    17      53       3       1
    18      56       3       1
    19      59       3       1
    20      62       3       1
    21      65       3       1
    22      68       3       1
    23      71       3       1
    24      74       3       1
    25      77       3       1
    26      80       3       1
    27      83       3       1
    28      87       4       1
    29      91       4       1
    30      95       4       1
    31      99       4       1
    32     103       4       1
    33     107       4       1
    34     111       4       1
    35     115       4       1
    36     118       3       1
    37     121       3       1
    38     124       3       1
    39     127       3       1
    40     130       3       1
    41     133       3       1
    42     136       3       1
    43     139       3       1
    44     142       3       1
    45     145       3       1
    46     148       3       1
    47     152       4       1
    48     155       3       1
    49     158       3       1
    50     161       3       1
    51     164       3       1
    52     167       3       1
    53     170       3       1
    54     173       3       1
    55     176       3       1
    56     179       3       1
    57     182       3       1
    58     185       3       1
    59     188       3       1
    60     191       3       1
    61     194       3       1
    62     197       3       1
    63     200       3       1
    64     203       3       1
    65     206       3       1
    66     209       3       1
    67     212       3       1
    68     215       3       1
    69     218       3       1
    70     221       3       1
    71     224       3       1
    72     227       3       1
    73     230       3       1
    74     233       3       1
    75     236       3       1
    76     239       3       1
    77     243       4       1
    78     247       4       1
    79     251       4       1
    80     254       3       1
    81     257       3       1
    82     260       3       1
    83     263       3       1
    84     266       3       1
    85     269       3       1
    86     272       3       1
    87     275       3       1
    88     278       3       1
    89     281       3       1
    90     285       4       1
    91     289       4       1
    92     293       4       1
    93     297       4       1
    94     301       4       1
    95     305       4       1
    96     309       4       1
    97     313       4       1
    98     317       4       1
    99     320       3       1
   100     323       3       1
   101     326       3       1
   102     329       3       1
   103     332       3       1
   104     335       3       1
   105     338       3       1
   106     341       3       1
   107     344       3       1
   108     347       3       1
   109     351       4       1
   110     355       4       1
   111     358       3       1
   112     361       3       1
   113     364       3       1
   114     367       3       1
   115     370       3       1
   116     373       3       1
   117     376       3       1
   118     379       3       1
   119     382       3       1
   120     385       3       1
   121     388       3       1
   122     391       3       1
   123     394       3       1
   124     397       3       1
   125     401       4       1
