  TimeWindow  TotalIterations  Iterations  Convergence
     1       5       5       1
     2      11       6       1
     3      16       5       1
     4      22       6       1
     5      27       5       1
     6      33       6       1
     7      38       5       1
     8      44       6       1
     9      49       5       1
    10      55       6       1
    11      60       5       1
    12      66       6       1
    13      71       5       1
    14      76       5       1
    15      81       5       1
    16      86       5       1
