  TimeWindow  TotalIterations  Iterations  Convergence
     1       5       5       1
     2      10       5       1
     3      15       5       1
     4      20       5       1
     5      26       6       1
     6      31       5       1
     7      36       5       1
     8      41       5       1
     9      46       5       1
    10      52       6       1
