  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       6       3       1
     3       9       3       1
     4      12       3       1
     5      15       3       1
     6      18       3       1
     7      21       3       1
     8      24       3       1
     9      27       3       1
    10      30       3       1
    11      33       3       1
    12      36       3       1
    13      39       3       1
    14      42       3       1
    15      45       3       1
    16      48       3       1
    17      51       3       1
    18      54       3       1
    19      57       3       1
    20      60       3       1
    21      63       3       1
    22      66       3       1
    23      69       3       1
    24      72       3       1
    25      75       3       1
    26      78       3       1
    27      81       3       1
    28      84       3       1
    29      87       3       1
    30      90       3       1
    31      93       3       1
    32      96       3       1
    33      99       3       1
    34     102       3       1
    35     105       3       1
    36     108       3       1
    37     111       3       1
    38     114       3       1
    39     117       3       1
    40     120       3       1
    41     123       3       1
    42     126       3       1
    43     129       3       1
    44     132       3       1
    45     135       3       1
    46     138       3       1
    47     141       3       1
    48     144       3       1
    49     147       3       1
    50     150       3       1
    51     153       3       1
    52     156       3       1
    53     159       3       1
    54     162       3       1
    55     165       3       1
    56     168       3       1
    57     171       3       1
    58     174       3       1
    59     177       3       1
    60     180       3       1
    61     183       3       1
    62     186       3       1
    63     189       3       1
    64     192       3       1
    65     195       3       1
    66     198       3       1
    67     201       3       1
    68     204       3       1
    69     207       3       1
    70     210       3       1
    71     213       3       1
    72     216       3       1
    73     219       3       1
    74     222       3       1
    75     225       3       1
    76     228       3       1
    77     231       3       1
    78     234       3       1
    79     237       3       1
    80     240       3       1
    81     243       3       1
    82     246       3       1
    83     249       3       1
    84     252       3       1
    85     255       3       1
    86     258       3       1
    87     261       3       1
    88     264       3       1
    89     267       3       1
    90     270       3       1
    91     273       3       1
    92     276       3       1
    93     279       3       1
    94     282       3       1
    95     285       3       1
    96     288       3       1
    97     291       3       1
    98     294       3       1
    99     297       3       1
   100     300       3       1
   101     303       3       1
   102     306       3       1
   103     309       3       1
   104     312       3       1
   105     315       3       1
   106     318       3       1
   107     321       3       1
   108     324       3       1
   109     327       3       1
   110     330       3       1
   111     333       3       1
   112     336       3       1
   113     339       3       1
   114     342       3       1
   115     345       3       1
   116     348       3       1
   117     351       3       1
   118     354       3       1
   119     357       3       1
   120     360       3       1
   121     363       3       1
   122     366       3       1
   123     369       3       1
   124     372       3       1
   125     376       4       1
   126     379       3       1
   127     382       3       1
   128     385       3       1
   129     388       3       1
   130     391       3       1
   131     394       3       1
   132     397       3       1
   133     400       3       1
   134     403       3       1
   135     406       3       1
   136     409       3       1
   137     412       3       1
   138     415       3       1
   139     418       3       1
   140     421       3       1
   141     424       3       1
   142     427       3       1
   143     430       3       1
   144     433       3       1
   145     436       3       1
   146     439       3       1
   147     442       3       1
   148     445       3       1
   149     448       3       1
   150     451       3       1
   151     454       3       1
   152     457       3       1
   153     460       3       1
   154     463       3       1
   155     466       3       1
   156     469       3       1
   157     472       3       1
   158     475       3       1
   159     478       3       1
   160     481       3       1
   161     484       3       1
   162     487       3       1
   163     490       3       1
   164     493       3       1
   165     496       3       1
   166     499       3       1
   167     502       3       1
   168     505       3       1
   169     508       3       1
   170     511       3       1
   171     514       3       1
   172     517       3       1
   173     520       3       1
   174     523       3       1
   175     526       3       1
   176     529       3       1
   177     532       3       1
   178     535       3       1
   179     538       3       1
   180     541       3       1
   181     544       3       1
   182     547       3       1
   183     550       3       1
   184     553       3       1
   185     556       3       1
   186     559       3       1
   187     562       3       1
   188     565       3       1
   189     568       3       1
   190     571       3       1
   191     574       3       1
   192     577       3       1
   193     580       3       1
   194     583       3       1
   195     586       3       1
   196     589       3       1
   197     592       3       1
   198     595       3       1
   199     598       3       1
   200     601       3       1
   201     604       3       1
   202     607       3       1
   203     610       3       1
   204     613       3       1
   205     616       3       1
   206     619       3       1
   207     622       3       1
   208     625       3       1
   209     628       3       1
   210     631       3       1
   211     634       3       1
   212     637       3       1
   213     640       3       1
   214     643       3       1
   215     646       3       1
   216     649       3       1
   217     652       3       1
   218     655       3       1
   219     658       3       1
   220     661       3       1
   221     664       3       1
   222     667       3       1
   223     670       3       1
   224     673       3       1
   225     676       3       1
   226     679       3       1
   227     682       3       1
   228     685       3       1
   229     688       3       1
   230     691       3       1
   231     694       3       1
   232     697       3       1
   233     700       3       1
   234     703       3       1
   235     706       3       1
   236     709       3       1
   237     712       3       1
   238     715       3       1
   239     718       3       1
   240     721       3       1
   241     724       3       1
   242     727       3       1
   243     730       3       1
   244     733       3       1
   245     736       3       1
   246     739       3       1
   247     742       3       1
   248     745       3       1
   249     748       3       1
   250     752       4       1
